Aminocyclopropane carboxylate	Amino-oxoheptanedioate	Dehydroalanine	Aminoadipate semialdehyde	Deoxyribose phosphate	Diaminoheptanedioate	Dihydroxy-methylpentanoate	Aminoisobutanoate	Methylthioadenosine	Pyrroline hydroxycarboxylate	Acetyl-diaminoheptanedioate	Acetylhomoserine	Acetylmuramate	Acetylornithine	Adenine	Dexyguanosine	AICAR	Aminopropiononitrile	Anthranilate	Arginine	Aspartate	Alanine	Carbamoyl-aspartate	Aconitate	Citrate	Citrulline	Cysteine	Deoxyribose	Erythro-methylmalate	Erythro-hydroxyglutamate	Formylmethionine	Fumarate	Galactono-lactone	Glutamate	Glutamine	Glycerate	Guanosine	Hexose phosphate	Histidine	Methylcitrate	Hypoxanthine	Isopropylmalate	Isopropylmaleate	Oxoglutarate	Leucine	Lysine	Malate	Methylmaleate	d-Ala-d-Ala	Noradrenaline	Ornithine	Phenylalanine	Proline	Pyrrole carboxylate	S-adenosylmethionine	Succinate	Succinate semialdehyde	Succinyl-diaminoheptanedioate	Threonine	Tryptophan	Tyrosine	Valine	Aspartate semialdehyde	Dehydro-deoxyrhamnonate	Glyceraldehyde phosphate	Ribose phosphate	Sedoheptulose phosphate
F30658_11	13.174198797062335	10.8922741316149363	 9.4220111637232176	10.3878416998189600	7.7694220784954489	9.4394086195208367	8.3470892563251464	10.5998374108626994	10.3090043385060230	13.449624094804550	 9.1608310449574493	10.9015264043377478	6.1964470312799227	9.3774972296169228	 9.6832072400921465	8.4744525811213620	9.0266559792445502	 9.7967296905189425	 9.0641920107997560	 9.7465022339366882	12.033161346261327	12.177328733716411	 8.4690899555761856	8.7529533524523107	11.673018192755812	10.9156706025214554	9.4287053234844329	 7.5095446024925998	10.3200873434270690	10.0537569270310723	 7.2203196341796145	7.2519380843422967	10.955217706487391	13.476612308184860	8.9943232571148979	 9.2604228120404244	7.4948090102977423	11.950759181699382	8.7085270082447455	7.8630354438721453	8.2027927507784266	10.6046431537944841	8.2929122178315087	 9.9345217897570208	12.530162369540450	 9.5001534177065903	9.0190863652807156	7.8288430826335809	10.2631149514918647	8.9569650639881147	10.4023787826475633	11.691631732128306	10.1232769667282199	9.4208361555383799	8.4764496741998947	8.6532646250890064	8.6981521436964222	10.4279358664946553	11.075736806244477	 8.7219889981964034	10.0623084768993607	11.984037473913270	7.8683861173706875	 9.9356313243923573	12.140188727747708	11.0975826731588967	11.663091127911965
F30658_12	13.160373533327423	11.0091356347245100	 9.3878389632016841	10.5512232401604180	7.7987235737177505	9.6556966758601188	8.1135373589043951	10.4838573040372918	10.4324211341469812	13.443855308067612	 9.3021866695533575	10.9142350493832829	6.1964470312799227	9.1354815714047213	 9.7612841434092505	8.5375407399489607	9.2915375722450371	 9.7628796346845821	 9.1361676055362171	 9.6140071195628369	12.060185674258964	11.989679617321453	 8.4497139705689097	8.7225288613464471	11.687541357950735	10.8352728841526194	9.5687721045254008	 7.5596824985290727	10.3210624422211552	 9.9495226196407494	 7.2203196341796145	7.2750376640620029	10.978522479782878	13.473341530635807	8.9943232571148979	 9.1895705876329128	7.4948090102977423	11.829642580021842	8.9718308991427289	7.8977226887514993	8.2027927507784266	10.5000659736852366	8.2814230568431739	 9.8751808440436832	12.531056687183566	 9.4647612861433590	8.8446640897763356	8.0705533386285762	10.2000643517891803	8.9569650639881147	10.2610062789652687	11.710606596110180	10.0081271186643939	9.5101896803019947	8.4671576483145383	8.5638349362270532	8.5591067703015931	10.4132240852998397	10.986818746601729	 8.7327349317074656	 9.7133259430653069	12.008276444478847	7.5224073619610516	 9.9772748208772324	12.090498312641335	10.9940522502312703	11.562930801813572
F34365_13	12.724340813792159	10.6847586389543050	 9.5956769172994409	10.2117732134709982	7.2132279588734987	9.0838164446592895	7.5638856962731413	10.0467002447946214	 9.9546391608445646	13.008553339167264	 9.9137520954703007	10.9532022610882951	7.2830184543227290	8.8821683098357944	 9.3266546686176426	8.2512529564548327	9.3751566672417042	 9.4344813272860844	 9.7416734876704520	 9.5522242236188593	11.906881543986259	11.720080716159668	 8.8949831337523619	8.3289851220108702	11.007616311762424	10.9572525821417788	8.7812237194591010	 9.2062114784565505	 8.8924045948119677	 9.5945358130489051	10.8098106747232414	7.4416275664836631	10.992590484389599	13.086527108750765	8.3416675572483463	11.9977660862839972	8.2589619992683829	11.879537259055471	8.5682817613877056	8.5316162571269594	8.2151135560215742	 9.7883695062121205	7.8051454531068760	 9.6932960828288444	11.794637698527765	 8.9685040689620763	8.9242903406232319	7.3389640650348911	 9.9403736035820778	8.1338717639098856	 9.8026522642267651	11.444631597110678	10.0237711106865941	9.2684544942368827	8.3005590935485181	8.1781429262588023	8.3842023213072654	 8.7067365817113718	10.994775609507956	 8.7850087573020037	10.1670918791378959	12.215924819017351	7.3199976764513037	 9.6856043135271097	11.765023091626137	10.8802762514836822	11.636545612680118
F34365_14	12.785953526285155	10.8960586576231169	 9.5567094313445420	10.4635242661382826	7.5437970071267513	8.8791415350954086	7.6173410735105032	10.0699825577417243	 9.9922677875590917	13.068446226378212	 9.6536933475484776	11.0778715071875524	7.2830184543227290	8.8262210897030950	 9.4266138577389587	8.3106445083105918	9.1726871789109374	 9.6330291262304613	 9.6402830769473500	 9.6345687361904915	11.952043400201591	11.737418885850827	 8.9873883784459654	8.4447113840158146	11.054319122025206	11.0221967408771331	8.8735271688144799	 9.0860957670276559	 8.9073307242718531	 9.5672629576545312	10.8098106747232414	7.3253892639562963	11.138646334001827	13.112360511112859	8.3416675572483463	11.6960305382866796	8.2589619992683829	11.996653726690552	8.4136525710821974	8.6555853227481592	8.2151135560215742	 9.7057714375030706	7.7865398527875085	 9.6524750980091198	11.889132084936538	 9.4868737592122923	8.8073420751815306	7.3821414533224541	10.0423926028716544	8.1338717639098856	 9.7760602378645114	11.467963596026935	 9.5007329304483399	9.2638527897019927	8.1792144701571434	8.2916633682834302	8.3912094812669284	 9.2113550728827907	11.066927928752852	 8.7361688409748304	10.3580802295441661	12.139476742053688	7.7152916438070687	 9.8440531136990685	11.826996440946228	10.9865215237681717	11.773520526718700
F34365_15	12.813974520775577	10.9845293107258808	 9.6442119921406650	10.5892733210355843	7.3791327236405797	9.1091808337924185	7.8876530795696445	10.0735573724992147	 9.9526314851374575	13.086744181755446	 9.5968119210502998	11.0674253768241435	7.2830184543227290	8.7775450265596415	 9.6128078919651010	8.1085606567568878	9.3558935224681932	 9.5033579431522490	 9.9398990997748289	 9.4691150702067439	11.922797501944936	11.833181617616736	 8.9141063593973460	8.5739882229982101	11.089994948063877	10.9086323908886733	8.8044765930088396	 9.2447736440350035	 9.0605323535470088	 9.6051506106564180	10.8098106747232414	7.3913557312091696	11.157040281536858	13.110766601558954	8.3416675572483463	11.8456224971505719	8.2589619992683829	11.951202056302670	8.7468202004632793	8.5711106489905813	8.2151135560215742	 9.9410044811748044	7.9765477853488980	 9.6758855578798499	12.298296174757578	 9.2897217537439207	8.8787008607981281	7.5216020344225196	 9.9811692902744724	8.1338717639098856	 9.9397411124710384	11.475349562707843	 9.9113461351363057	9.3879212534002967	8.4926060786900521	8.4083630968691807	8.5205377138224208	 8.9193224698624363	11.081019138243377	 8.1985381280228911	10.1553014828599331	12.246015222901576	8.0418190551072666	 9.7400214074425211	11.860790870443614	10.9752211907343025	11.719162079257083
F63912_16	13.130011178407260	10.6486873488567877	 9.7065321435559042	 9.1036729689683042	7.4605750892002476	9.1283876738206526	7.7518544271037584	10.5075724522717575	10.2483822288573290	13.388733547315212	10.1177248596524105	11.4372146032811042	5.2448395260501828	9.2479855066367929	10.6001754696420640	8.7146899910853897	9.1444705195404801	 9.5780100725019128	 8.7804141368743949	 9.8168770945409918	12.391942493941846	12.772772118388245	 9.7481453873897976	8.8474799245840732	11.592331578237571	10.7002348536309793	9.4953415754172728	 8.2791123864616907	 9.5427012967345259	 9.3786504836017617	 6.7980952867956654	7.4686411031512216	11.261182436232508	13.426512676397975	9.0487167132204327	11.4097230314117919	8.0888541943125620	12.405810696713088	8.8791912339364938	8.5518698920593934	8.9116062116635746	10.5170389427825537	8.5296288024568643	10.0701542121546037	12.996852755879203	 9.9140205100267735	8.8589892563773596	7.8595334271871291	10.6378694928299602	7.0800215064928089	10.1150649819800424	11.744023005164587	10.2974270830717831	9.2189498654575939	8.9925166529236993	8.6671682706048667	8.7211169037035656	 9.6490924409294880	11.669944444962054	 8.8561098181021976	10.7471169124767716	13.356002417511126	8.1422819603753602	 9.7649591935400419	12.873632092740447	11.9189303439571379	12.437112073682254
F63912_17	13.411516259071496	11.0122191467762480	 9.9729637191007274	10.3689759592242936	7.5782935245909657	9.4213687322528266	8.1014163092526470	10.7612455619494192	10.4876019983041751	13.686995390210932	 9.9602300796808230	11.8808779035800445	5.2448395260501828	9.4373588861095037	 9.7458070371266903	8.6495114995272147	8.9905156713456176	 9.7343923438871247	 8.8307109761903018	10.1714034068163688	12.701121871997678	13.046818213553175	 9.9065031110637971	8.8658571269233750	11.715433102200986	10.9171170785394427	9.8312866781655082	 8.4525910162918194	 9.6351606272423957	 9.6351606290819660	 6.7980952867956654	7.1994547322800093	11.379976974443728	13.631492337446870	9.0487167132204327	11.2397384371596161	8.0888541943125620	12.748023193776881	8.7558453037866322	8.7245387567490678	8.9116062116635746	10.7593825116930208	8.6496313783788565	10.3402178775271807	13.104232905804015	10.2243838624007690	8.7455646261693154	7.7646088012754682	10.9599646168307974	7.0800215064928089	10.4130214030839721	12.049278989774798	10.5414345985050009	9.4350162284468162	9.2546439210490146	8.4927700004033504	9.0191758173427079	 9.9195791428075744	11.893600396841512	 8.8706289729838819	11.0559170838860137	13.635973542560471	8.2020223472574827	 9.8824775561314748	13.147010575672390	12.2290902828409109	12.802835475152802
F63912_18	13.297242579064871	11.1446148443306274	 9.9682485864717965	10.3747849382950452	7.3985399086023627	9.3127753104092577	7.9923045596190843	10.9178544993091933	10.3940297982244605	13.582471952074798	 9.6208921024545848	11.6468829365594413	5.2448395260501828	9.2552381526204783	10.2317874482341953	8.7316946002906377	9.0099609922220623	 9.7123174616187846	 8.9197959876358350	10.2220382523581161	12.578759702192588	13.009307336124101	 9.8601835461492513	8.9049269114926091	11.755908068081757	10.8435699627245477	9.6774245934796017	 8.2843386858139105	 9.5437010024006455	 9.4285835709727088	 6.7980952867956654	7.2438607757125881	11.321862688467720	13.542048916895038	9.0487167132204327	11.0828371866325917	8.0888541943125620	12.723621824711731	8.8576484621335663	8.6984729893564179	8.9116062116635746	10.6820601625365708	8.5049251386172120	10.1583637590656917	13.194275052248198	10.0962604912620417	8.9343820046689721	7.8206524709631999	10.8455323287520695	7.0800215064928089	10.3305562889386735	11.959892797747852	10.4225204912346516	9.4312093688133043	8.9918811329643251	8.7626176721628557	8.8333067268627943	 9.7855471741372870	11.813746544878779	 8.9706698233030355	10.9850150961241031	13.557717416871062	8.1208461243145837	 9.8620589931066434	13.088780074009145	12.1904733423437239	12.759612866805027
F9670_19	12.853167309130242	10.4822891522534345	 9.1954993930067310	 9.9491171500568267	8.2083882203880574	9.2382719893740930	7.5329760423467711	 9.7921904750354525	10.2608111138511440	13.122444970504681	 9.5320607659653636	10.2240782859149100	6.0129955636522023	8.9120209016411440	 9.6051475237130326	7.8086024526785121	9.5049934846738857	 9.2813850514585443	 8.3926946798551239	 9.3964366552828373	11.476306542230212	11.649793559978487	 8.8967303604082293	8.0637056475398818	11.046527375277609	10.8844642466141597	8.7484054004487621	 8.8313697204071957	 8.5956753806440833	 9.9013159522184839	 6.7022235463380513	7.4757688244910891	11.039638037961760	13.191548399065649	8.3548288920560410	11.6040076966230767	6.9382306586132492	12.031048475709415	8.5828635798355251	7.9955873707982015	7.4201993813093381	 9.9211268356139897	7.8165901574744963	 9.8400731207461778	11.592261500922193	 9.0388238435627457	8.7905174016118259	7.0817189268740783	 9.9762276540724848	7.0315173467238195	 9.6943832685131142	11.624626117780627	10.4273228818333408	9.4265966328259054	8.2923373455274962	8.3950535609703785	8.5708972423965122	 9.3671073373453577	10.763671174812114	 8.7419509134975542	 9.7842766394598630	11.930226052947008	7.5179546689472101	 9.9162026516792636	11.450307646247131	11.0920137674231025	12.315496780692863
F9670_20	12.717720258756668	10.4842457282583936	 9.2116084588362117	10.0027795804660737	7.3682465817401805	9.0143587414981763	7.6419226550651986	 9.8488645851639021	 9.9847683274017527	12.966928213767176	 9.3982489241936236	10.1908739732971441	6.0129955636522023	8.9162793199958035	 9.6727427569182751	8.3660294018809243	9.3723146136381761	 9.4910135019746402	 8.3416724227447325	 9.3413475250376301	11.573514069558382	11.640484898721754	 8.6143325494590233	8.2262314470992077	11.096646044371454	10.7504792025087692	8.6992763425338406	 8.8735296078492283	 8.7312400434587154	 9.7404137142766203	 6.7022235463380513	7.4778892933775598	11.097400050217635	13.057247455744763	8.3548288920560410	10.4310367039201690	6.9382306586132492	12.068338849583919	8.5358379960005699	8.0647610610529643	7.4201993813093381	 9.8130584421798588	7.7213145529441123	 9.7502469997604564	12.076452153495238	 9.1287533826981075	8.9974930151577492	7.1342967919642488	 9.8949302712319867	7.0315173467238195	 9.6093911219727843	11.562698573003630	10.1992516080737001	9.5487984552634622	8.5365510573207803	8.3439492751242295	8.4384644064516099	 9.0107150429917979	10.788585120115373	 8.4917710777234081	 9.7681741877834476	12.034851461829545	7.7724458956454203	 9.9283084414112093	11.536404294873485	11.1212534448925400	12.332913515510580
