157847	158302	F	Rv0130
158315	159658	R	Rv0131c
159700	160782	R	Rv0132c
160869	161474	F	Rv0133
161771	162673	F	Rv0134
162644	163249	R	Rv0135c
163366	164691	F	Rv0136
164712	165260	R	Rv0137c
165323	165826	F	Rv0138
165827	166849	F	Rv0139
166910	167290	F	Rv0140
167271	167681	R	Rv0141c
167711	168637	F	Rv0142
168704	170182	R	Rv0143c
170284	171126	F	Rv0144
171215	172168	F	Rv0145
172211	173143	F	Rv0146
173238	174758	F	Rv0147
174833	175693	F	Rv0148
175700	176668	F	Rv0149
176665	176952	R	Rv0150c
177543	179309	R	Rv0151c
179319	180896	R	Rv0152c
181155	181985	R	Rv0153c
181987	183198	R	Rv0154c
183622	184722	F	Rv0155
184723	185055	F	Rv0156
185052	186479	F	Rv0157
186495	186623	R	Rv0157A
186785	187429	F	Rv0158
187433	188839	R	Rv0159c
188931	190439	R	Rv0160c
190607	191956	F	Rv0161
191984	193135	R	Rv0162c
193117	193572	F	Rv0163
193626	194111	F	Rv0164
194144	194815	R	Rv0165c
194993	196657	F	Rv0166
196861	197658	F	Rv0167
197660	198529	F	Rv0168
198534	199898	F	Rv0169
199895	200935	F	Rv0170
200932	202479	F	Rv0171
202476	204068	F	Rv0172
204065	205237	F	Rv0173
205231	206778	F	Rv0174
206814	207455	F	Rv0175
207452	208420	F	Rv0176
208417	208971	F	Rv0177
208938	209672	F	Rv0178
209703	210812	R	Rv0179c
210892	212250	R	Rv0180c
212277	213011	R	Rv0181c
213028	214140	R	Rv0182c
214088	214927	F	Rv0183
214969	215718	F	Rv0184
215715	216224	F	Rv0185
216269	218344	F	Rv0186
218390	218551	R	Rv0186A
218705	219367	F	Rv0187
219486	219917	F	Rv0188
219996	221723	R	Rv0189c
221871	222161	F	Rv0190
222289	223530	F	Rv0191
223564	224664	F	Rv0192
223607	223909	F	Rv0192A
224724	226571	R	Rv0193c
226878	230462	F	Rv0194
230899	231534	F	Rv0195
231647	232231	F	Rv0196
232231	234519	F	Rv0197
234516	236507	R	Rv0198c
236550	237209	F	Rv0199
237206	237895	F	Rv0200
237892	238395	R	Rv0201c
238392	241292	R	Rv0202c
241514	241924	F	Rv0203
241976	243214	R	Rv0204c
243384	244487	F	Rv0205
244484	247318	R	Rv0206c
247384	248112	R	Rv0207c
248115	248906	R	Rv0208c
249038	250123	F	Rv0209
250120	251598	F	Rv0210
251782	253602	F	Rv0211
253669	254640	R	Rv0212c
254637	255950	R	Rv0213c
256064	257677	F	Rv0214
257719	258856	R	Rv0215c
258913	259926	F	Rv0216
259923	260831	R	Rv0217c
260924	262252	F	Rv0218
262254	262802	F	Rv0219
262812	264023	F	Rv0220
264067	265476	F	Rv0221
265507	266295	F	Rv0222
266301	267764	R	Rv0223c
267863	268627	R	Rv0224c
268663	269817	F	Rv0225
269834	271564	R	Rv0226c
271574	272839	R	Rv0227c
273055	274278	F	Rv0228
274306	274986	R	Rv0229c
274983	275963	R	Rv0230c
276058	277764	F	Rv0231
277899	278588	F	Rv0232
278585	279529	F	Rv0233
279605	281140	R	Rv0234c
281166	282614	R	Rv0235c
282649	286851	R	Rv0236c
286898	287071	R	Rv0236A
287186	288352	F	Rv0237
288428	289042	F	Rv0238
289104	289337	F	Rv0239
289345	289782	F	Rv0240
289812	290654	R	Rv0241c
290665	292029	R	Rv0242c
292171	293493	F	Rv0243
293604	293705	F	RVnc0008
